Date,Shift,Area,Machine,Operator,%Availability,Run Time,Slow Speed %,Slow Speed (Mins),Down Time %,Down Time(mins),Calculated Target Kg,Actual Kg,Target %,Total Shift Time,Product code,Calculated kg,Week,Month
01-10-2020,A,wd,ZING 1,Amalraj K,40,362,37,119,60,185,3450,2783,80.67,547,ZING,707,40 week,10
01-10-2020,A,wd,ZING 10,Yuvaraj K,15,55,22,448,85,378,3450,1024,29.68,433,ZING,2321,40 week,10
01-10-2020,A,wd,ZING 9,Yuvaraj K,96,221,26,237,4,399,3450,2613,75.74,620,ZING,1170,40 week,10
01-10-2020,A,wd,ZING 11,Dinesh M,47,284,40,76,53,166,3450,3351,97.13,450,ZING,2901,40 week,10
01-10-2020,A,wd,ZING 12,Dinesh M,88,60,0,171,12,194,3450,1106,32.06,254,ZING,2868,40 week,10
01-10-2020,A,wd,ZING 8,Manikandan D,2,457,19,291,98,73,3450,2808,81.39,530,ZING,57,40 week,10
01-10-2020,A,wd,ZING 6,Manikandan D,3,292,8,292,97,428,3450,1453,42.12,720,ZING,1614,40 week,10
01-10-2020,A,wd,ZING 5,Manikandan D,61,296,12,45,39,309,3450,515,14.93,605,ZING,7,40 week,10
01-10-2020,A,wd,ZING 4,Pradeep M,73,358,19,120,27,153,3450,1764,51.13,511,ZING,965,40 week,10
01-10-2020,A,wd,ZING 3,Pradeep M,100,423,10,321,0,33,3450,2770,80.29,456,ZING,1399,40 week,10
01-10-2020,A,wd,ZING 2,Amalraj K,3,52,7,30,97,339,3450,2074,60.12,391,ZING,1295,40 week,10
01-10-2020,B,wd,ZING 1,Bakkiyaraj.K,47,160,24,30,53,373,3450,1640,47.54,533,ZING,361,40 week,10
01-10-2020,B,wd,ZING 10,Kumarasami P,12,148,14,302,88,28,3450,2763,80.09,176,ZING,2495,40 week,10
01-10-2020,B,wd,ZING 9,Kumarasami P,5,280,19,267,95,20,3450,2138,61.97,300,ZING,497,40 week,10
01-10-2020,B,wd,ZING 11,Jayaprakash.M,56,59,18,367,44,279,3450,1159,33.59,338,ZING,201,40 week,10
01-10-2020,B,wd,ZING 12,Jayaprakash.M,31,180,3,337,69,23,3450,2564,74.32,203,ZING,2074,40 week,10
01-10-2020,B,wd,ZING 8,Chellaperumal,11,373,15,4,89,268,3450,2136,61.91,641,ZING,2938,40 week,10
01-10-2020,B,wd,ZING 6,Manikandan D,72,457,13,72,28,374,3450,1821,52.78,831,ZING,416,40 week,10
01-10-2020,B,wd,ZING 5,Chellaperumal,17,342,22,297,83,297,3450,180,5.22,639,ZING,290,40 week,10
01-10-2020,B,wd,ZING 4,Rooban Ismavel,99,370,13,45,1,393,3450,2728,79.07,763,ZING,2488,40 week,10
01-10-2020,B,wd,ZING 3,Rooban Ismavel,53,96,26,229,47,366,3450,1401,40.61,462,ZING,1909,40 week,10
01-10-2020,B,wd,ZING 2,Bakkiyaraj.K,86,428,11,453,14,30,3450,1889,54.75,458,ZING,61,40 week,10
02-10-2020,A,wd,ZING 1,Bakkiyaraj.K,47,185,5,52,53,94,3450,1890,54.78,279,ZING,937,40 week,10
02-10-2020,A,wd,ZING 10,Kumarasami P,33,427,29,314,67,478,3450,3368,97.62,905,ZING,1829,40 week,10
02-10-2020,A,wd,ZING 9,Kumarasami P,10,195,19,324,90,82,3450,549,15.91,277,ZING,590,40 week,10
02-10-2020,A,wd,ZING 11,Jayaprakash.M,9,209,0,260,91,31,3450,3373,97.77,240,ZING,89,40 week,10
02-10-2020,A,wd,ZING 12,Jayaprakash.M,99,285,5,400,1,319,3450,3154,91.42,604,ZING,1652,40 week,10
02-10-2020,A,wd,ZING 8,Chellaperumal,87,7,18,419,13,153,3450,2866,83.07,160,ZING,2179,40 week,10
02-10-2020,A,wd,ZING 6,Manikandan D,30,441,9,331,70,221,3450,324,9.39,662,ZING,789,40 week,10
02-10-2020,A,wd,ZING 5,Chellaperumal,61,227,36,351,39,214,3450,1583,45.88,441,ZING,1974,40 week,10
02-10-2020,A,wd,ZING 4,Rooban Ismavel,40,116,1,22,60,59,3450,951,27.57,175,ZING,1780,40 week,10
02-10-2020,A,wd,ZING 3,Rooban Ismavel,2,97,29,259,98,258,3450,3003,87.04,355,ZING,146,40 week,10
02-10-2020,A,wd,ZING 2,Bakkiyaraj.K,87,116,32,437,13,4,3450,2278,66.03,120,ZING,320,40 week,10
02-10-2020,B,wd,ZING 1,Bakkiyaraj.K,56,19,19,111,44,69,3450,2425,70.29,88,ZING,2201,40 week,10
02-10-2020,B,wd,ZING 10,Kumarasami P,2,473,8,221,98,111,3450,1829,53.01,584,ZING,2319,40 week,10
02-10-2020,B,wd,ZING 9,Kumarasami P,53,442,26,371,47,325,3450,2283,66.17,767,ZING,564,40 week,10
02-10-2020,B,wd,ZING 11,Jayaprakash.M,81,189,26,184,19,460,3450,1498,43.42,649,ZING,503,40 week,10
02-10-2020,B,wd,ZING 12,Jayaprakash.M,25,241,17,431,75,300,3450,1063,30.81,541,ZING,1440,40 week,10
02-10-2020,B,wd,ZING 8,Chellaperumal,9,203,18,385,91,145,3450,767,22.23,348,ZING,1253,40 week,10
02-10-2020,B,wd,ZING 6,Manikandan D,72,421,21,474,28,271,3450,104,3.01,692,ZING,1828,40 week,10
02-10-2020,B,wd,ZING 5,Chellaperumal,22,289,11,33,78,206,3450,250,7.25,495,ZING,1720,40 week,10
02-10-2020,B,wd,ZING 4,Rooban Ismavel,55,123,15,198,45,335,3450,1904,55.19,458,ZING,621,40 week,10
02-10-2020,B,wd,ZING 3,Rooban Ismavel,74,30,22,424,26,114,3450,2210,64.06,144,ZING,2224,40 week,10
02-10-2020,B,wd,ZING 2,Bakkiyaraj.K,82,467,30,403,18,236,3450,937,27.16,703,ZING,327,40 week,10
03-10-2020,A,wd,ZING 1,Bakkiyaraj.K,57,340,1,367,43,320,3450,2891,83.8,660,ZING,1280,40 week,10
03-10-2020,A,wd,ZING 10,Kumarasami P,40,479,8,311,60,87,3450,2698,78.2,566,ZING,2017,40 week,10
03-10-2020,A,wd,ZING 9,Kumarasami P,65,224,12,429,35,469,3450,1443,41.83,693,ZING,945,40 week,10
03-10-2020,A,wd,ZING 11,Jayaprakash.M,37,366,7,370,63,398,3450,1861,53.94,764,ZING,1942,40 week,10
03-10-2020,A,wd,ZING 12,Jayaprakash.M,27,81,38,230,73,252,3450,1021,29.59,333,ZING,2713,40 week,10
03-10-2020,A,wd,ZING 8,Chellaperumal,28,208,9,131,72,382,3450,2373,68.78,590,ZING,1707,40 week,10
03-10-2020,A,wd,ZING 6,Manikandan D,28,448,14,220,72,295,3450,2987,86.58,743,ZING,247,40 week,10
03-10-2020,A,wd,ZING 5,Chellaperumal,71,385,39,236,29,464,3450,1656,48,849,ZING,37,40 week,10
03-10-2020,A,wd,ZING 4,Rooban Ismavel,20,333,40,320,80,263,3450,504,14.61,596,ZING,1643,40 week,10
03-10-2020,A,wd,ZING 3,Rooban Ismavel,96,302,28,199,4,211,3450,2467,71.51,513,ZING,2015,40 week,10
03-10-2020,A,wd,ZING 2,Bakkiyaraj.K,46,114,12,461,54,308,3450,1079,31.28,422,ZING,460,40 week,10
03-10-2020,B,wd,ZING 1,Bakkiyaraj.K,44,349,17,398,56,40,3450,1646,47.71,389,ZING,1054,40 week,10
03-10-2020,B,wd,ZING 10,Kumarasami P,24,268,11,379,76,123,3450,1340,38.84,391,ZING,1700,40 week,10
03-10-2020,B,wd,ZING 9,Kumarasami P,37,235,30,338,63,107,3450,2285,66.23,342,ZING,2330,40 week,10
03-10-2020,B,wd,ZING 11,Jayaprakash.M,43,92,26,318,57,190,3450,2174,63.01,282,ZING,814,40 week,10
03-10-2020,B,wd,ZING 12,Jayaprakash.M,40,71,5,136,60,397,3450,1037,30.06,468,ZING,1916,40 week,10
03-10-2020,B,wd,ZING 8,Chellaperumal,3,23,2,357,97,305,3450,3313,96.03,328,ZING,2613,40 week,10
03-10-2020,B,wd,ZING 6,Manikandan D,45,173,25,416,55,212,3450,1027,29.77,385,ZING,2593,40 week,10
03-10-2020,B,wd,ZING 5,Chellaperumal,72,171,7,334,28,419,3450,265,7.68,590,ZING,663,40 week,10
03-10-2020,B,wd,ZING 4,Rooban Ismavel,95,212,28,328,5,308,3450,96,2.78,520,ZING,1889,40 week,10
03-10-2020,B,wd,ZING 3,Rooban Ismavel,99,292,31,340,1,332,3450,3381,98,624,ZING,529,40 week,10
03-10-2020,B,wd,ZING 2,Bakkiyaraj.K,51,222,33,436,49,446,3450,851,24.67,668,ZING,2150,40 week,10
04-10-2020,B,wd,ZING 1,Bakkiyaraj.K,14,341,5,318,86,380,3450,2296,66.55,721,ZING,736,40 week,10
04-10-2020,B,wd,ZING 10,Kumarasami P,96,397,4,420,4,37,3450,540,15.65,434,ZING,2223,40 week,10
04-10-2020,B,wd,ZING 9,Kumarasami P,44,342,23,157,56,372,3450,2006,58.14,714,ZING,937,40 week,10
04-10-2020,B,wd,ZING 11,Jayaprakash.M,71,49,13,394,29,403,3450,727,21.07,452,ZING,2154,40 week,10
04-10-2020,B,wd,ZING 12,Jayaprakash.M,41,0,3,469,59,50,3450,3042,88.17,50,ZING,1800,40 week,10
04-10-2020,B,wd,ZING 8,Chellaperumal,61,199,12,108,39,288,3450,2095,60.72,487,ZING,2288,40 week,10
04-10-2020,B,wd,ZING 6,Manikandan D,90,119,7,353,10,452,3450,105,3.04,571,ZING,1848,40 week,10
04-10-2020,B,wd,ZING 5,Chellaperumal,6,175,3,188,94,417,3450,640,18.55,592,ZING,1258,40 week,10
04-10-2020,B,wd,ZING 4,Rooban Ismavel,18,221,33,346,82,158,3450,2800,81.16,379,ZING,917,40 week,10
04-10-2020,B,wd,ZING 3,Rooban Ismavel,33,197,38,416,67,94,3450,389,11.28,291,ZING,509,40 week,10
04-10-2020,B,wd,ZING 2,Bakkiyaraj.K,58,3,31,265,42,41,3450,393,11.39,44,ZING,2626,40 week,10
05-10-2020,A,wd,ZING 1,Bakkiyaraj.K,42,358,33,125,58,165,3450,3336,96.7,523,ZING,1843,41 week,10
05-10-2020,A,wd,ZING 10,Yuvaraj K,40,187,2,378,60,89,3450,1138,32.99,276,ZING,1847,41 week,10
05-10-2020,A,wd,ZING 9,Yuvaraj K,64,288,7,17,36,83,3450,2849,82.58,371,ZING,2788,41 week,10
05-10-2020,A,wd,ZING 11,Jayaprakash.M,63,320,40,361,37,403,3450,3328,96.46,723,ZING,4,41 week,10
05-10-2020,A,wd,ZING 12,Jayaprakash.M,24,46,22,102,76,226,3450,3383,98.06,272,ZING,943,41 week,10
05-10-2020,A,wd,ZING 8,Kumarasami P,61,469,15,18,39,273,3450,2276,65.97,742,ZING,1224,41 week,10
05-10-2020,A,wd,ZING 6,Manikandan D,78,17,1,418,22,433,3450,3390,98.26,450,ZING,2240,41 week,10
05-10-2020,A,wd,ZING 5,Kumarasami P,85,1,23,209,15,46,3450,838,24.29,47,ZING,936,41 week,10
05-10-2020,A,wd,ZING 4,Manikandan D,71,34,20,283,29,259,3450,1079,31.28,293,ZING,1310,41 week,10
05-10-2020,A,wd,ZING 3,Manikandan D,85,50,38,337,15,437,3450,2599,75.33,487,ZING,1573,41 week,10
05-10-2020,A,wd,ZING 2,Bakkiyaraj.K,69,480,6,21,31,310,3450,209,6.06,790,ZING,1960,41 week,10
05-10-2020,B,wd,ZING 1,Bakkiyaraj.K,1,14,24,420,99,465,3450,1669,48.38,479,ZING,2987,41 week,10
05-10-2020,B,wd,ZING 10,Yuvaraj K,20,405,8,352,80,209,3450,2521,73.07,614,ZING,375,41 week,10
05-10-2020,B,wd,ZING 9,Yuvaraj K,95,237,12,477,5,325,3450,448,12.99,562,ZING,1613,41 week,10
05-10-2020,B,wd,ZING 11,Chellaperumal,15,174,5,408,85,449,3450,2042,59.19,623,ZING,827,41 week,10
05-10-2020,B,wd,ZING 12,Chellaperumal,26,271,29,193,74,336,3450,1765,51.16,607,ZING,2864,41 week,10
05-10-2020,B,wd,ZING 8,Rooban Ismavel,71,151,31,400,29,324,3450,2627,76.14,475,ZING,924,41 week,10
05-10-2020,B,wd,ZING 6,Manikandan D,39,146,26,241,61,459,3450,3250,94.2,605,ZING,2677,41 week,10
05-10-2020,B,wd,ZING 5,Kumarasami P,31,140,33,95,69,312,3450,2082,60.35,452,ZING,1061,41 week,10
05-10-2020,B,wd,ZING 4,Manikandan D,18,258,25,194,82,231,3450,2777,80.49,489,ZING,2473,41 week,10
05-10-2020,B,wd,ZING 3,Manikandan D,87,404,20,126,13,223,3450,927,26.87,627,ZING,120,41 week,10
05-10-2020,B,wd,ZING 2,Bakkiyaraj.K,66,404,14,300,34,280,3450,2353,68.2,684,ZING,769,41 week,10
05-10-2020,C,wd,ZING 1,Amalraj K,8,44,0,175,92,81,3450,5,0.14,125,ZING,2434,41 week,10
05-10-2020,C,wd,ZING 10,Dinesh M,65,40,31,56,35,49,3450,2159,62.58,89,ZING,1611,41 week,10
05-10-2020,C,wd,ZING 9,Dinesh M,31,79,3,302,69,372,3450,3414,98.96,451,ZING,2850,41 week,10
05-10-2020,C,wd,ZING 11,Ramakrishnan,25,138,35,279,75,424,3450,865,25.07,562,ZING,2156,41 week,10
05-10-2020,C,wd,ZING 12,Ramakrishnan,58,77,30,18,42,384,3450,2758,79.94,461,ZING,2694,41 week,10
05-10-2020,C,wd,ZING 8,Rooban Ismavel,80,83,26,426,20,117,3450,3149,91.28,200,ZING,1892,41 week,10
05-10-2020,C,wd,ZING 6,Manikandan D,96,315,4,466,4,127,3450,1834,53.16,442,ZING,2262,41 week,10
05-10-2020,C,wd,ZING 5,Rajesh A,15,168,9,101,85,352,3450,3168,91.83,520,ZING,454,41 week,10
05-10-2020,C,wd,ZING 4,Pradeep M,23,348,33,260,77,144,3450,1279,37.07,492,ZING,2504,41 week,10
05-10-2020,C,wd,ZING 3,Pradeep M,72,425,12,304,28,338,3450,808,23.42,763,ZING,437,41 week,10
05-10-2020,C,wd,ZING 2,Amalraj K,79,421,40,74,21,345,3450,25,0.72,766,ZING,2198,41 week,10
06-10-2020,A,wd,ZING 1,Bakkiyaraj.K,16,337,26,243,84,294,3450,63,1.83,631,ZING,846,41 week,10
06-10-2020,A,wd,ZING 10,Manikandan D,49,437,29,343,51,352,3450,2569,74.46,789,ZING,1406,41 week,10
06-10-2020,A,wd,ZING 9,Dinesh M,68,110,6,118,32,428,3450,2862,82.96,538,ZING,1054,41 week,10
06-10-2020,A,wd,ZING 11,Jayaprakash.M,95,433,13,69,5,18,3450,272,7.88,451,ZING,588,41 week,10
06-10-2020,A,wd,ZING 12,Jayaprakash.M,61,236,28,72,39,426,3450,2349,68.09,662,ZING,633,41 week,10
06-10-2020,A,wd,ZING 8,Manikandan D,13,206,31,193,87,148,3450,576,16.7,354,ZING,427,41 week,10
06-10-2020,A,wd,ZING 6,Manikandan D,14,287,14,418,86,409,3450,2487,72.09,696,ZING,2355,41 week,10
06-10-2020,A,wd,ZING 5,Rajesh A,58,288,28,401,42,165,3450,3107,90.06,453,ZING,2700,41 week,10
06-10-2020,A,wd,ZING 4,Pradeep M,24,312,16,226,76,349,3450,24,0.7,661,ZING,369,41 week,10
06-10-2020,A,wd,ZING 3,Rajesh A,29,285,14,18,71,375,3450,3076,89.16,660,ZING,1609,41 week,10
06-10-2020,A,wd,ZING 2,Bakkiyaraj.K,22,404,31,155,78,187,3450,2907,84.26,591,ZING,206,41 week,10
06-10-2020,B,wd,ZING 1,Amalraj K,79,144,20,134,21,286,3450,954,27.65,430,ZING,2125,41 week,10
06-10-2020,B,wd,ZING 10,Manikandan D,72,258,1,124,28,433,3450,851,24.67,691,ZING,887,41 week,10
06-10-2020,B,wd,ZING 9,Dinesh M,74,300,8,252,26,155,3450,977,28.32,455,ZING,816,41 week,10
06-10-2020,B,wd,ZING 11,Yuvaraj K,35,143,6,143,65,211,3450,874,25.33,354,ZING,1084,41 week,10
06-10-2020,B,wd,ZING 12,Yuvaraj K,31,191,5,276,69,406,3450,3279,95.04,597,ZING,147,41 week,10
06-10-2020,B,wd,ZING 8,Manikandan D,33,160,25,409,67,359,3450,1411,40.9,519,ZING,2734,41 week,10
06-10-2020,B,wd,ZING 6,Manikandan D,93,260,36,456,7,239,3450,1877,54.41,499,ZING,2619,41 week,10
06-10-2020,B,wd,ZING 5,Rooban Ismavel,75,150,37,115,25,308,3450,2252,65.28,458,ZING,2559,41 week,10
06-10-2020,B,wd,ZING 4,Pradeep M,7,216,7,161,93,109,3450,3332,96.58,325,ZING,2700,41 week,10
06-10-2020,B,wd,ZING 3,Rooban Ismavel,4,235,32,76,96,362,3450,2499,72.43,597,ZING,2666,41 week,10
06-10-2020,B,wd,ZING 2,Amalraj K,8,90,5,14,92,238,3450,2420,70.14,328,ZING,872,41 week,10
06-10-2020,C,wd,ZING 1,Amalraj K,21,164,38,265,79,331,3450,305,8.84,495,ZING,507,41 week,10
06-10-2020,C,wd,ZING 10,Ramakrishnan,44,189,31,413,56,318,3450,401,11.62,507,ZING,1172,41 week,10
06-10-2020,C,wd,ZING 9,Dinesh M,56,197,21,404,44,218,3450,1089,31.57,415,ZING,439,41 week,10
06-10-2020,C,wd,ZING 11,Yuvaraj K,67,453,20,407,33,115,3450,3129,90.7,568,ZING,787,41 week,10
06-10-2020,C,wd,ZING 12,Ramakrishnan,51,164,24,114,49,59,3450,1990,57.68,223,ZING,2488,41 week,10
06-10-2020,C,wd,ZING 8,Dinesh M,36,278,33,475,64,426,3450,3127,90.64,704,ZING,2529,41 week,10
06-10-2020,C,wd,ZING 6,Manikandan D,98,248,32,320,2,310,3450,3413,98.93,558,ZING,2774,41 week,10
06-10-2020,C,wd,ZING 5,Rajesh A,23,410,8,211,77,458,3450,2995,86.81,868,ZING,1022,41 week,10
06-10-2020,C,wd,ZING 4,Pradeep M,44,110,13,454,56,82,3450,2091,60.61,192,ZING,2268,41 week,10
06-10-2020,C,wd,ZING 3,Rajesh A,85,385,21,215,15,150,3450,3506,101.62,535,ZING,827,41 week,10
06-10-2020,C,wd,ZING 2,Amalraj K,78,133,26,243,22,245,3450,950,27.54,378,ZING,803,41 week,10
07-10-2020,A,wd,ZING 1,Bakkiyaraj.K,69,73,8,10,31,5,3450,2634,76.35,78,ZING,1991,41 week,10
07-10-2020,A,wd,ZING 10,Jayaprakash.M,82,181,25,18,18,165,3450,170,4.93,346,ZING,1084,41 week,10
07-10-2020,A,wd,ZING 9,Dinesh M,47,442,21,445,53,189,3450,1743,50.52,631,ZING,820,41 week,10
07-10-2020,A,wd,ZING 11,Yuvaraj K,78,48,13,406,22,276,3450,1074,31.13,324,ZING,2382,41 week,10
07-10-2020,A,wd,ZING 12,Ramakrishnan,21,354,40,400,79,414,3450,1963,56.9,768,ZING,2418,41 week,10
07-10-2020,A,wd,ZING 8,Jayaprakash.M,18,390,24,309,82,120,3450,2931,84.96,510,ZING,1537,41 week,10
07-10-2020,A,wd,ZING 6,Manikandan D,38,19,11,439,62,319,3450,2979,86.35,338,ZING,160,41 week,10
07-10-2020,A,wd,ZING 5,Rajesh A,9,188,31,77,91,290,3450,2370,68.7,478,ZING,2192,41 week,10
07-10-2020,A,wd,ZING 4,Kumarasami P,64,402,40,332,36,237,3450,2161,62.64,639,ZING,584,41 week,10
07-10-2020,A,wd,ZING 3,Kumarasami P,82,411,22,150,18,282,3450,1112,32.23,693,ZING,435,41 week,10
07-10-2020,A,wd,ZING 2,Bakkiyaraj.K,84,394,4,392,16,241,3450,2749,79.68,635,ZING,1489,41 week,10
07-10-2020,B,wd,ZING 1,Amalraj K,76,242,17,208,24,119,3450,3463,100.38,361,ZING,2469,41 week,10
07-10-2020,B,wd,ZING 10,Yuvaraj K,27,160,2,363,73,97,3450,938,27.19,257,ZING,740,41 week,10
07-10-2020,B,wd,ZING 9,Dinesh M,26,96,17,15,74,73,3450,1842,53.39,169,ZING,2416,41 week,10
07-10-2020,B,wd,ZING 11,Yuvaraj K,6,42,33,307,94,412,3450,3378,97.91,454,ZING,914,41 week,10
07-10-2020,B,wd,ZING 12,Ramakrishnan,3,125,23,97,97,107,3450,190,5.51,232,ZING,946,41 week,10
07-10-2020,B,wd,ZING 8,Manikandan D,55,375,15,372,45,295,3450,1995,57.83,670,ZING,2965,41 week,10
07-10-2020,B,wd,ZING 6,Manikandan D,26,96,23,119,74,204,3450,2571,74.52,300,ZING,532,41 week,10
07-10-2020,B,wd,ZING 5,Rooban Ismavel,98,315,33,21,2,294,3450,1692,49.04,609,ZING,2047,41 week,10
07-10-2020,B,wd,ZING 4,Yuvaraj K,93,348,21,33,7,316,3450,2743,79.51,664,ZING,65,41 week,10
07-10-2020,B,wd,ZING 3,Rooban Ismavel,9,392,32,9,91,404,3450,2185,63.33,796,ZING,2677,41 week,10
07-10-2020,B,wd,ZING 2,Amalraj K,12,324,35,138,88,427,3450,327,9.48,751,ZING,1283,41 week,10
07-10-2020,C,wd,ZING 1,Amalraj K,95,363,3,439,5,343,3450,971,28.14,706,ZING,55,41 week,10
07-10-2020,C,wd,ZING 10,Ramakrishnan,69,24,10,474,31,374,3450,118,3.42,398,ZING,363,41 week,10
07-10-2020,C,wd,ZING 9,Pradeep M,55,180,11,166,45,130,3450,2641,76.55,310,ZING,1216,41 week,10
07-10-2020,C,wd,ZING 11,Yuvaraj K,36,5,5,275,64,324,3450,3294,95.48,329,ZING,2729,41 week,10
07-10-2020,C,wd,ZING 12,Ramakrishnan,97,318,23,30,3,304,3450,3213,93.13,622,ZING,993,41 week,10
07-10-2020,C,wd,ZING 8,Ramakrishnan,17,39,38,305,83,368,3450,2201,63.8,407,ZING,481,41 week,10
07-10-2020,C,wd,ZING 6,Pradeep M,9,24,27,407,91,389,3450,1837,53.25,413,ZING,1262,41 week,10
07-10-2020,C,wd,ZING 5,Rooban Ismavel,96,125,20,2,4,333,3450,1996,57.86,458,ZING,686,41 week,10
07-10-2020,C,wd,ZING 4,Yuvaraj K,24,472,6,29,76,54,3450,220,6.38,526,ZING,436,41 week,10
07-10-2020,C,wd,ZING 3,Rooban Ismavel,77,462,24,216,23,341,3450,1980,57.39,803,ZING,59,41 week,10
07-10-2020,C,wd,ZING 2,Amalraj K,28,354,6,239,72,156,3450,1800,52.17,510,ZING,823,41 week,10
08-10-2020,A,wd,ZING 1,Bakkiyaraj.K,22,159,27,96,78,199,3450,1255,36.38,358,ZING,81,41 week,10
08-10-2020,A,wd,ZING 10,Yuvaraj K,64,30,14,367,36,395,3450,1437,41.65,425,ZING,2042,41 week,10
08-10-2020,A,wd,ZING 9,Yuvaraj K,3,137,3,409,97,263,3450,1506,43.65,400,ZING,1862,41 week,10
08-10-2020,A,wd,ZING 11,Yuvaraj K,82,106,40,70,18,454,3450,2265,65.65,560,ZING,1364,41 week,10
08-10-2020,A,wd,ZING 12,Ramakrishnan,1,444,7,36,99,216,3450,2715,78.7,660,ZING,1909,41 week,10
08-10-2020,A,wd,ZING 8,Manikandan D,61,150,18,184,39,40,3450,31,0.9,190,ZING,670,41 week,10
08-10-2020,A,wd,ZING 6,Manikandan D,50,60,11,194,50,222,3450,1224,35.48,282,ZING,1351,41 week,10
08-10-2020,A,wd,ZING 5,Rajesh A,31,127,25,132,69,229,3450,2686,77.86,356,ZING,795,41 week,10
08-10-2020,A,wd,ZING 4,Yuvaraj K,50,357,13,457,50,326,3450,867,25.13,683,ZING,2682,41 week,10
08-10-2020,A,wd,ZING 3,Rajesh A,19,8,13,127,81,47,3450,3213,93.13,55,ZING,2286,41 week,10
08-10-2020,A,wd,ZING 2,Bakkiyaraj.K,82,97,27,304,18,177,3450,2072,60.06,274,ZING,828,41 week,10
08-10-2020,B,wd,ZING 1,Amalraj K,35,35,19,46,65,207,3450,1180,34.2,242,ZING,2695,41 week,10
08-10-2020,B,wd,ZING 10,Yuvaraj K,6,285,22,119,94,131,3450,398,11.54,416,ZING,2223,41 week,10
08-10-2020,B,wd,ZING 9,Yuvaraj K,11,432,9,54,89,281,3450,3107,90.06,713,ZING,1728,41 week,10
08-10-2020,B,wd,ZING 11,Chellaperumal,11,366,36,215,89,379,3450,969,28.09,745,ZING,2929,41 week,10
08-10-2020,B,wd,ZING 12,Chellaperumal,50,177,24,431,50,371,3450,2635,76.38,548,ZING,903,41 week,10
08-10-2020,B,wd,ZING 8,Manikandan D,67,281,4,181,33,289,3450,2198,63.71,570,ZING,528,41 week,10
08-10-2020,B,wd,ZING 6,Manikandan D,12,419,26,262,88,103,3450,2074,60.12,522,ZING,1777,41 week,10
08-10-2020,B,wd,ZING 5,Rooban Ismavel,7,415,9,33,93,145,3450,3109,90.12,560,ZING,142,41 week,10
08-10-2020,B,wd,ZING 4,Rooban Ismavel,26,349,6,222,74,418,3450,431,12.49,767,ZING,2934,41 week,10
08-10-2020,B,wd,ZING 3,Rooban Ismavel,56,59,28,226,44,175,3450,2084,60.41,234,ZING,2802,41 week,10
08-10-2020,B,wd,ZING 2,Amalraj K,9,114,12,325,91,164,3450,445,12.9,278,ZING,1562,41 week,10
08-10-2020,C,wd,ZING 1,Chellaperumal,73,227,3,45,27,409,3450,1948,56.46,636,ZING,352,41 week,10
08-10-2020,C,wd,ZING 10,Dinesh M,27,204,36,128,73,227,3450,2920,84.64,431,ZING,947,41 week,10
08-10-2020,C,wd,ZING 9,Dinesh M,33,312,13,469,67,252,3450,3157,91.51,564,ZING,6,41 week,10
